number,data
1,0.372232925
2,0.111976516
3,0.322840473
4,0.573218614
5,0.369880875
6,0.73075513
7,0.587235323
8,0.841372393
9,0.35873466
10,0.961512668
11,0.997272938
12,0.142450344
13,0.072161698
14,0.885115119
15,0.409278291
16,0.622518977
17,0.4440118
18,0.854217597
19,0.135158077
20,0.141795765
21,0.240136038
22,0.505895331
23,0.318636584
24,0.715270022
25,0.412924069
26,0.749021576
27,0.114220126
28,0.370308539
29,0.487009965
30,0.998525222
31,0.309041546
32,0.303028239
33,0.741386918
34,0.647142843
35,0.933191718
36,0.119025338
37,0.599381905
38,0.554816683
39,0.611171748
40,0.862311551
41,0.469182456
42,0.710695545
43,0.853508993
44,0.321284473
45,0.167210243
46,0.771564698
47,0.416838649
48,0.536183794
49,0.176492001
50,0.041130588
51,0.376989762
52,0.097664838
53,0.914335599
54,0.372424332
55,0.776321838
56,0.754150766
57,0.924450276
58,0.042777763
59,0.12054639
60,0.826206178
61,0.704480182
62,0.116896971
63,0.518532525
64,0.875505073
65,0.687752189
66,0.741506806
67,0.81920304
68,0.301469916
69,0.855597046
70,0.745746115
71,0.374742319
72,0.897562708
73,0.077442978
74,0.786604034
75,0.943671796
76,0.900253618
77,0.19057418
78,0.974549783
79,0.00857209
80,0.901768763
81,0.014885442
82,0.522402295
83,0.38384147
84,0.37148311
85,0.119566686
86,0.357879796
87,0.975967185
88,0.068573191
89,0.68041239
90,0.662208554
91,0.057669321
92,0.727979164
93,0.864542961
94,0.190382848
95,0.954318033
96,0.521275998
97,0.192576551
98,0.646511519
99,0.373285042
100,0.331605357
101,0.624733649
102,0.535266043
103,0.114259653
104,0.35798807
105,0.189696628
106,0.941566556
107,0.352044283
108,0.974320295
109,0.730374502
110,0.281405648
111,0.173068193
112,0.463595719
113,0.805313093
114,0.20393672
115,0.369773707
116,0.04833334
117,0.834965633
118,0.445162063
119,0.692823093
120,0.321585443
121,0.979392484
122,0.261340729
123,0.394710036
124,0.826797951
125,0.682254593
126,0.81321251
127,0.131507352
128,0.468747417
129,0.381103108
130,0.354294454
131,0.072110116
132,0.235399498
133,0.412298733
134,0.135067523
135,0.382608443
136,0.57802515
137,0.518968169
138,0.608420007
139,0.651544425
140,0.077502346
141,0.800278966
142,0.503957353
143,0.884539613
144,0.092462877
145,0.190833111
146,0.199974616
147,0.677525422
148,0.06682042
149,0.152896143
150,0.894968812
151,0.927751776
152,0.600874605
153,0.162983813
154,0.358397734
155,0.551575893
156,0.488024156
157,0.201777756
158,0.246603661
159,0.54799576
160,0.741800187
161,0.072064699
162,0.306190485
163,0.260080528
164,0.144769132
165,0.901474378
166,0.336427
167,0.332765031
168,0.017216508
169,0.9075122
170,0.031713593
171,0.17025862
172,0.572292957
173,0.74872482
174,0.114574529
175,0.414300055
176,0.590709796
177,0.921440898
178,0.583690667
179,0.287157324
180,0.219592275
181,0.736722425
182,0.895094627
183,0.518207632
184,0.053943906
185,0.393188299
186,0.555119706
187,0.943612028
188,0.741319635
189,0.751008539
190,0.803260131
191,0.333114762
192,0.086097139
193,0.973366492
194,0.361830447
195,0.882559519
196,0.593237095
197,0.931583437
198,0.043872684
199,0.058190461
200,0.363732746
201,0.638483192
202,0.965051579
203,0.960332738
204,0.455904014
205,0.047266064
206,0.097987163
207,0.280232428
208,0.63753373
209,0.50908511
210,0.427227787
211,0.595877881
212,0.660488249
213,0.511662591
214,0.975323517
215,0.19386144
216,0.059893482
217,0.178943826
218,0.083987122
219,0.069370582
220,0.487272152
221,0.47541703
222,0.236249788
223,0.494244289
224,0.017194821
225,0.065823227
